001543776258911 |    16 | jmml.monitor.rdp.RDP | ShotEvent | t: 5 |   true | [  1   1   1   0   0   5 ]
001543776258911 |    13 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |   true | [  0   2   1   0   0   5 ]
001543776258911 |    20 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   2   1   0   1   4 ]
001543776258912 |    21 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   2   1   0   2   3 ]
001543776258912 |    22 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   2   1   0   3   2 ]
001543776258912 |    18 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   2   1   0   4   1 ]
001543776258912 |    17 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   2   1   0   5   0 ]
001543776259050 |    21 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  1   2   1   0   4   0 ]
001543776259050 |    19 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  0   2   1   0   4   1 ]
001543776259130 |    15 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |  false | [  0   2   1   0   4   1 ]
001543776259157 |    17 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  1   2   1   0   3   1 ]
001543776259158 |    23 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  0   2   1   0   3   2 ]
001543776259279 |    13 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |  false | [  0   2   1   0   3   2 ]
001543776259325 |    22 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  1   2   1   0   2   2 ]
001543776259337 |    23 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  1   2   1   0   3   1 ]
001543776259338 |    20 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  2   2   1   0   2   1 ]
001543776259407 |    18 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  3   2   1   0   1   1 ]
001543776259465 |    19 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  3   2   1   0   2   0 ]
001543776259501 |    14 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |   true | [  2   3   1   0   2   0 ]
001543776259544 |    16 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |   true | [  1   4   1   0   2   0 ]
001543776259736 |    16 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |  false | [  1   4   1   0   2   0 ]
001543776259751 |    23 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  2   4   1   0   1   0 ]
001543776259900 |    14 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |  false | [  2   4   1   0   1   0 ]
001543776259917 |    17 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  1   4   1   0   1   1 ]
001543776260020 |    19 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  2   4   1   0   0   1 ]
001543776260020 |    15 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |   true | [  2   3   0   1   0   1 ]
001543776260093 |    22 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  1   3   0   1   0   2 ]
001543776260144 |    15 | jmml.monitor.rdp.RDP | ShotEvent | t: 5 |   true | [  2   3   1   0   0   2 ]
001543776260144 |    13 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |   true | [  2   2   0   1   0   2 ]
001543776260177 |    21 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  1   2   0   1   0   3 ]
001543776260329 |    18 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  0   2   0   1   0   4 ]
001543776260342 |    13 | jmml.monitor.rdp.RDP | ShotEvent | t: 5 |   true | [  1   2   1   0   0   4 ]
001543776260342 |    16 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |   true | [  1   1   0   1   0   4 ]
001543776260353 |    20 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  0   1   0   1   0   5 ]
